,predicted_mean
2021-11-09 03:45:00+00:00,46986.51148864569
2021-11-09 04:00:00+00:00,480349.6746344329
2021-11-09 04:15:00+00:00,872085.1662625351
2021-11-09 04:30:00+00:00,403452.07263156056
2021-11-09 04:45:00+00:00,147122.17201494245
2021-11-09 05:00:00+00:00,96527.72293276552
2021-11-09 05:15:00+00:00,1021435.3767304015
2021-11-09 05:30:00+00:00,363898.79730246763
2021-11-09 05:45:00+00:00,125173.25447449135
2021-11-09 06:00:00+00:00,12083.036592963734
2021-11-09 06:15:00+00:00,711623.2635082141
2021-11-09 06:30:00+00:00,666617.0982759243
2021-11-09 06:45:00+00:00,50397.017042093095
2021-11-09 07:00:00+00:00,483760.1801878803
2021-11-09 07:15:00+00:00,875495.6718159826
2021-11-09 07:30:00+00:00,406862.57818500797
2021-11-09 07:45:00+00:00,143711.66646149504
2021-11-09 08:00:00+00:00,93117.21737931811
2021-11-09 08:15:00+00:00,1024845.882283849
2021-11-09 08:30:00+00:00,367309.30285591504
2021-11-09 08:45:00+00:00,121762.74892104394
2021-11-09 09:00:00+00:00,15493.542146411142
2021-11-09 09:15:00+00:00,715033.7690616616
2021-11-09 09:30:00+00:00,670027.6038293717
2021-11-09 09:45:00+00:00,53807.522595540504
2021-11-09 10:00:00+00:00,487170.6857413277
2021-11-09 10:15:00+00:00,878906.17736943
2021-11-09 10:30:00+00:00,410273.0837384554
2021-11-09 10:45:00+00:00,140301.16090804763
2021-11-09 11:00:00+00:00,89706.7118258707
2021-11-09 11:15:00+00:00,1028256.3878372964
2021-11-09 11:30:00+00:00,370719.80840936245
2021-11-09 11:45:00+00:00,118352.24336759653
2021-11-09 12:00:00+00:00,18904.04769985855
2021-11-09 12:15:00+00:00,718444.274615109
2021-11-09 12:30:00+00:00,673438.1093828192
2021-11-09 12:45:00+00:00,57218.02814898791
2021-11-09 13:00:00+00:00,490581.1912947751
2021-11-09 13:15:00+00:00,882316.6829228774
2021-11-09 13:30:00+00:00,413683.5892919028
2021-11-09 13:45:00+00:00,136890.65535460023
2021-11-09 14:00:00+00:00,86296.2062724233
2021-11-09 14:15:00+00:00,1031666.8933907438
2021-11-09 14:30:00+00:00,374130.31396280986
2021-11-09 14:45:00+00:00,114941.73781414912
2021-11-09 15:00:00+00:00,22314.55325330596
2021-11-09 15:15:00+00:00,721854.7801685564
2021-11-09 15:30:00+00:00,676848.6149362666
2021-11-09 15:45:00+00:00,60628.53370243532
2021-11-09 16:00:00+00:00,493991.6968482225
2021-11-09 16:15:00+00:00,885727.1884763248
2021-11-09 16:30:00+00:00,417094.0948453502
2021-11-09 16:45:00+00:00,133480.14980115282
2021-11-09 17:00:00+00:00,82885.70071897589
2021-11-09 17:15:00+00:00,1035077.3989441912
2021-11-09 17:30:00+00:00,377540.81951625727
2021-11-09 17:45:00+00:00,111531.23226070171
2021-11-09 18:00:00+00:00,25725.058806753368
2021-11-09 18:15:00+00:00,725265.2857220038
2021-11-09 18:30:00+00:00,680259.120489714
2021-11-09 18:45:00+00:00,64039.03925588273
2021-11-09 19:00:00+00:00,497402.2024016699
2021-11-09 19:15:00+00:00,889137.6940297722
2021-11-09 19:30:00+00:00,420504.6003987976
2021-11-09 19:45:00+00:00,130069.64424770541
2021-11-09 20:00:00+00:00,79475.19516552848
2021-11-09 20:15:00+00:00,1038487.9044976386
2021-11-09 20:30:00+00:00,380951.3250697047
2021-11-09 20:45:00+00:00,108120.7267072543
2021-11-09 21:00:00+00:00,29135.564360200777
2021-11-09 21:15:00+00:00,728675.7912754512
2021-11-09 21:30:00+00:00,683669.6260431614
2021-11-09 21:45:00+00:00,67449.54480933014
2021-11-09 22:00:00+00:00,500812.70795511734
2021-11-09 22:15:00+00:00,892548.1995832196
2021-11-09 22:30:00+00:00,423915.105952245
2021-11-09 22:45:00+00:00,126659.138694258
2021-11-09 23:00:00+00:00,76064.68961208107
2021-11-09 23:15:00+00:00,1041898.410051086
2021-11-09 23:30:00+00:00,384361.8306231521
2021-11-09 23:45:00+00:00,104710.2211538069
2021-11-10 00:00:00+00:00,32546.069913648185
2021-11-10 00:15:00+00:00,732086.2968288986
2021-11-10 00:30:00+00:00,687080.1315966088
2021-11-10 00:45:00+00:00,70860.05036277755
2021-11-10 01:00:00+00:00,504223.21350856475
2021-11-10 01:15:00+00:00,895958.705136667
2021-11-10 01:30:00+00:00,427325.6115056924
2021-11-10 01:45:00+00:00,123248.63314081059
2021-11-10 02:00:00+00:00,72654.18405863366
2021-11-10 02:15:00+00:00,1045308.9156045334
2021-11-10 02:30:00+00:00,387772.3361765995
2021-11-10 02:45:00+00:00,101299.71560035949
2021-11-10 03:00:00+00:00,35956.575467095594
2021-11-10 03:15:00+00:00,735496.802382346
2021-11-10 03:30:00+00:00,690490.6371500562
2021-11-10 03:45:00+00:00,74270.55591622496
2021-11-10 04:00:00+00:00,507633.71906201215
2021-11-10 04:15:00+00:00,899369.2106901144
2021-11-10 04:30:00+00:00,430736.1170591398
2021-11-10 04:45:00+00:00,119838.12758736318
2021-11-10 05:00:00+00:00,69243.67850518625
2021-11-10 05:15:00+00:00,1048719.4211579808
2021-11-10 05:30:00+00:00,391182.8417300469
2021-11-10 05:45:00+00:00,97889.21004691208
2021-11-10 06:00:00+00:00,39367.081020543
2021-11-10 06:15:00+00:00,738907.3079357934
2021-11-10 06:30:00+00:00,693901.1427035036
2021-11-10 06:45:00+00:00,77681.06146967236
2021-11-10 07:00:00+00:00,511044.22461545956
2021-11-10 07:15:00+00:00,902779.7162435618
2021-11-10 07:30:00+00:00,434146.62261258723
2021-11-10 07:45:00+00:00,116427.62203391577
2021-11-10 08:00:00+00:00,65833.17295173884
2021-11-10 08:15:00+00:00,1052129.9267114282
2021-11-10 08:30:00+00:00,394593.3472834943
2021-11-10 08:45:00+00:00,94478.70449346467
2021-11-10 09:00:00+00:00,42777.58657399041
2021-11-10 09:15:00+00:00,742317.8134892408
2021-11-10 09:30:00+00:00,697311.648256951
2021-11-10 09:45:00+00:00,81091.56702311977
2021-11-10 10:00:00+00:00,514454.730168907
2021-11-10 10:15:00+00:00,906190.2217970092
2021-11-10 10:30:00+00:00,437557.12816603464
2021-11-10 10:45:00+00:00,113017.11648046836
2021-11-10 11:00:00+00:00,62422.66739829144
2021-11-10 11:15:00+00:00,1055540.4322648756
